KODE_KANTOR;KODE_JENIS_PINJAM;KETERANGAN_JENIS_PINJAM;JANUARI;FEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOVEMBER;DESEMBER
1;1;KREDIT ANGSURAN TETAP (KAT);384.183.989;389.588.976;393.459.573;428.033.713;351.876.517;437.435.140;390.096.428;392.457.676;395.542.782;406.616.338;418.277.693;425.357.869
1;2;KREDIT POKOK TETAP (KPT);;;;;;1.894.444;1.833.333;1.894.444;1.894.444;6.816.666;6.854.444;8.338.333
1;3;KREDIT TETAP KARYAWAN (KTK);31.157.087;30.884.685;30.086.300;30.246.946;28.575.958;32.768.761;31.556.990;31.902.303;31.315.387;30.981.408;29.465.500;28.905.529
1;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );1.566.478;1.509.830;1.564.278;1.281.652;1.258.858;1.235.682;1.212.120;1.188.166;1.163.812;1.139.052;1.113.880;1.088.288
1;12;KREDIT LINKAGE ANGSURAN TETAP (KAT);62.596.258;104.651.273;62.475.912;104.361.033;100.860.248;63.139.696;78.198.399;84.159.474;44.778.750;82.995.350;79.348.622;75.676.783
1;23;KREDIT TNI/POLRI;261.006.409;224.886.447;221.253.267;326.477.959;269.083.501;240.967.338;235.008.970;290.292.382;281.584.911;217.890.106;244.455.459;234.923.724
1;24;KREDIT KOPi 2;31.287.338;32.901.581;63.783.748;27.071.370;46.467.500;46.445.513;52.163.583;51.291.740;63.428.869;56.240.487;61.162.660;69.733.672
1;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;3.822.984;3.102.823;5.277.679;1.909.678;1.432.500;2.999.597;3.326.250;5.655.387;3.575.675;4.053.375;4.714.919;10.482.367
2;1;KREDIT ANGSURAN TETAP (KAT);461.419.873;429.109.399;458.784.200;471.365.148;454.467.148;440.191.680;441.733.254;422.917.886;447.084.747;439.447.276;408.209.855;407.294.607
2;3;KREDIT TETAP KARYAWAN (KTK);5.113.916;6.027.308;6.239.515;6.010.826;6.197.020;5.827.709;5.977.061;6.234.802;5.849.577;5.526.326;5.501.444;5.403.762
2;8;KREDIT ANGSURAN TETAP KHALIFAH ( KATK );901.465;1.189.214;958.753;1.036.407;878.815;887.460;839.790;839.880;722.285;790.527;678.974;857.972
2;12;KREDIT LINKAGE ANGSURAN TETAP (KAT);21.983.916;22.077.557;12.053.751;19.244.846;17.687.813;18.982.140;13.808.783;16.932.768;15.359.785;10.467.517;8.895.431;8.286.153
2;19;KREDIT FINTECH ANGSURAN TETAP (KAT);1.727.279;144.945;486.166;;;;;;;;;
2;22;KREDIT FINTECH POKOK TETAP (KPT);39.375.000;23.750.000;;;;;;;;;;
2;23;KREDIT TNI/POLRI;26.418.360;21.528.744;18.121.548;30.661.874;31.295.630;24.248.017;7.342.451;20.927.032;8.817.886;8.424.862;6.906.425;8.614.197
2;24;KREDIT KOPi 2;57.644.355;56.076.387;88.057.126;57.653.255;66.259.750;71.659.919;84.674.750;72.131.315;78.323.109;94.086.515;83.967.475;111.218.041
2;25;KREDIT SERTIFIKASI/TUKIN KARYAWAN;;;;;;;;;;;;1.125.000
3;1;KREDIT ANGSURAN TETAP (KAT);239.007.917;259.356.062;278.879.854;269.441.569;249.817.704;249.959.371;217.671.908;218.607.899;226.969.998;243.372.937;221.709.939;208.253.561
3;2;KREDIT POKOK TETAP (KPT);6.393.750;18.018.750;18.018.750;;;;;;;;;
3;3;KREDIT TETAP KARYAWAN (KTK);2.577.649;2.567.312;2.242.792;2.517.558;2.359.968;2.467.223;3.624.148;3.721.213;3.687.901;4.290.174;3.595.972;3439240
